regionID,Region,black_african,hispanic_latino,white,others
5,Western,0.312435357,0.276493754,0.362031586,0.049039303
4,Southern,0.582755156,0.113692284,0.269796585,0.033752281
3,Pacific,0.160991774,0.305684693,0.464287683,0.069029725
2,Northern,0.448774672,0.255769352,0.235524323,0.059931653
1,Central,0.440724371,0.101614087,0.40899737,0.048664173
